ad_name,creative_file,utm_content,url
RITO_PP_MEI_Feed_00_Principal_Cases,deliverables/social-assets/meta-projeto-piloto/feed-4x5/00-principal-cases-1080x1350.png,feed_00_principal_cases,https://ritosistemas.com/pages/projeto-piloto.html?utm_source=meta&utm_medium=paid_social&utm_campaign=projeto_piloto_mei&utm_content=feed_00_principal_cases
RITO_PP_MEI_Feed_01_Controles_Simples,deliverables/social-assets/meta-projeto-piloto/feed-4x5/01-controles-simples-1080x1350.png,feed_01_controles_simples,https://ritosistemas.com/pages/projeto-piloto.html?utm_source=meta&utm_medium=paid_social&utm_campaign=projeto_piloto_mei&utm_content=feed_01_controles_simples
RITO_PP_MEI_Feed_02_Rotina_Solucao,deliverables/social-assets/meta-projeto-piloto/feed-4x5/02-rotina-solucao-1080x1350.png,feed_02_rotina_solucao,https://ritosistemas.com/pages/projeto-piloto.html?utm_source=meta&utm_medium=paid_social&utm_campaign=projeto_piloto_mei&utm_content=feed_02_rotina_solucao
